date,state,fips,cases,deaths,population,cases_prop
2020-02-29,Washington,53,10,1,7614893,0.13132160885254723
2020-02-29,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-03-01,Arizona,04,1,0,7278717,0.013738684990775159
2020-03-01,California,06,33,0,39512223,0.08351845959160537
2020-03-01,Florida,12,2,0,21477737,0.009311968015997216
2020-03-01,Illinois,17,3,0,12671821,0.023674576842586396
2020-03-01,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-03-01,Nebraska,31,13,0,1934408,0.6720402314299776
2020-03-01,New York,36,1,0,19453561,0.005140447036920386
2020-03-01,Oregon,41,2,0,4217737,0.04741879353786165
2020-03-01,Rhode Island,44,2,0,1059361,0.18879305543624883
2020-03-01,Texas,48,11,0,28995881,0.03793642276294347
2020-03-01,Utah,49,1,0,3205958,0.03119192453550546
2020-03-01,Washington,53,17,3,7614893,0.22324673504933032
2020-03-01,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-03-02,Arizona,04,1,0,7278717,0.013738684990775159
2020-03-02,California,06,38,0,39512223,0.0961727716509395
2020-03-02,Florida,12,2,0,21477737,0.009311968015997216
2020-03-02,Georgia,13,2,0,10617423,0.018836962603825804
2020-03-02,Illinois,17,4,0,12671821,0.03156610245678186
2020-03-02,Massachusetts,25,2,0,6949503,0.028779036428935995
2020-03-02,Nebraska,31,13,0,1934408,0.6720402314299776
2020-03-02,New Hampshire,33,1,0,1359711,0.0735450400857241
2020-03-02,New York,36,1,0,19453561,0.005140447036920386
2020-03-02,Oregon,41,2,0,4217737,0.04741879353786165
2020-03-02,Rhode Island,44,2,0,1059361,0.18879305543624883
2020-03-02,Texas,48,11,0,28995881,0.03793642276294347
2020-03-02,Utah,49,1,0,3205958,0.03119192453550546
2020-03-02,Washington,53,23,6,7614893,0.30203970036085864
2020-03-02,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-03-03,Arizona,04,2,0,7278717,0.027477369981550318
2020-03-03,California,06,45,0,39512223,0.1138888085340073
2020-03-03,Florida,12,3,0,21477737,0.013967952023995823
2020-03-03,Georgia,13,2,0,10617423,0.018836962603825804
2020-03-03,Illinois,17,4,0,12671821,0.03156610245678186
2020-03-03,Massachusetts,25,2,0,6949503,0.028779036428935995
2020-03-03,Nebraska,31,13,0,1934408,0.6720402314299776
2020-03-03,New Hampshire,33,2,0,1359711,0.1470900801714482
2020-03-03,New York,36,2,0,19453561,0.010280894073840773
2020-03-03,North Carolina,37,1,0,10488084,0.009534629966731769
2020-03-03,Oregon,41,2,0,4217737,0.04741879353786165
2020-03-03,Rhode Island,44,2,0,1059361,0.18879305543624883
2020-03-03,Texas,48,11,0,28995881,0.03793642276294347
2020-03-03,Utah,49,1,0,3205958,0.03119192453550546
2020-03-03,Washington,53,32,10,7614893,0.42022914832815117
2020-03-03,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-03-04,Arizona,04,2,0,7278717,0.027477369981550318
2020-03-04,California,06,55,1,39512223,0.1391974326526756
2020-03-04,Florida,12,3,0,21477737,0.013967952023995823
2020-03-04,Georgia,13,2,0,10617423,0.018836962603825804
2020-03-04,Illinois,17,4,0,12671821,0.03156610245678186
2020-03-04,Massachusetts,25,2,0,6949503,0.028779036428935995
2020-03-04,Nebraska,31,13,0,1934408,0.6720402314299776
2020-03-04,New Hampshire,33,2,0,1359711,0.1470900801714482
2020-03-04,New Jersey,34,1,0,8882190,0.011258484675513583
2020-03-04,New York,36,11,0,19453561,0.05654491740612426
2020-03-04,North Carolina,37,1,0,10488084,0.009534629966731769
2020-03-04,Oregon,41,2,0,4217737,0.04741879353786165
2020-03-04,Rhode Island,44,2,0,1059361,0.18879305543624883
2020-03-04,Texas,48,12,0,28995881,0.0413851884686656
2020-03-04,Utah,49,1,0,3205958,0.03119192453550546
2020-03-04,Washington,53,47,11,7614893,0.6172115616069721
2020-03-04,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-03-05,Arizona,04,2,0,7278717,0.027477369981550318
2020-03-05,California,06,67,1,39512223,0.16956778159507754
2020-03-05,Colorado,08,2,0,5758736,0.03472984349343328
2020-03-05,Florida,12,4,0,21477737,0.018623936031994432
2020-03-05,Georgia,13,2,0,10617423,0.018836962603825804
2020-03-05,Illinois,17,5,0,12671821,0.03945762807097733
2020-03-05,Maryland,24,3,0,6045680,0.04962220957774807
2020-03-05,Massachusetts,25,3,0,6949503,0.043168554643403995
